LMP2,#1,Team SSR,Oreca 011,616,,5,,123
LMP2,#32,Team SSR,Oreca 011,614,,4,,122
LMP2,#2,Team Carroll Penske,Oreca 011,614,,4,,122
LMP2,#3,Team Carroll Penske,Oreca 011,614,,3,,121
LMP2,#14,Forward Alpine Racing,Alpine A490,611,,2,,118
LMP2,#51,Rick Ware Racing,Dallara P231,615,,5,,121
LMP2,#52,Rick Ware Racing,Dallara P231,614,,3,,120
LMP2,#84,Vector Sport,Pescarolo P31,615,,4,,121
LMP2,#85,Vector Sport,Pescarolo P31,614,,3,,120
LMP2,#225,Super Corby Racing,Dallara P231,613,,3,,118
LMP2,#255,Super Corby Racing,Dallara P231,611,,3,,118
