LMP1,#9,Team Stellar,Stellar Electronic LM,766,,3,,127
LMP1,#10,Team Stellar,Stellar Electronic LM,765,,2,,126
LMP1,#17,Banzai BeAsTY Racing,Devastazione LM1,763,,1,,124
LMP1,#37,Lamborghini Racing,Lamborghini Superiore,768,,5,,129
LMP1,#63,Lamborghini Racing,Lamborghini Superiore,767,,4,,128
LMP1,#48,Fifth Gear Racing,Cadillac V-LMP1,765,,4,,125
LMP1,#54,Fifth Gear Racing,Cadillac V-LMP1,764,,3,,124
LMP1,#56,ByKolles Bubob Racing,ByKolles Bubob BB01,762,,2,,124
LMP1,#115,ByKolles Bubob Racing,ByKolles Bubob BB01,761,,1,,122
LMP1,#59,Jones Racing Systems,Project Jones 95,766,,3,,127
LMP1,#559,Jones Racing Systems,Project Jones 95,765,,2,,125
LMP1,#81,Yacco Venturi Racing,Venturi Verouiller,767,,3,,126
LMP1,#82,Yacco Venturi Racing,Venturi Verouiller,768,,5,,127
LMP1,#101,98-99 Racing,Opel LMP Project,766,,3,,126
LMP1,#155,Alfa Romeo ASC,Alfa Romeo Tipo 33/261,768,,5,,127
LMP1,#156,Alfa Romeo ASC,Alfa Romeo Tipo 33/261,767,,2,,127
LMP1,#727,Pioneer Champions Racing,PCR-080,767,,3,,127
LMP1,#728,Pioneer Champions Racing,PCR-080,766,,2,,127
