LMGTE,#11,Void Corvette Racing,Corvette C8R.2,501,,4,,118
LMGTE,#44,Void Corvette Racing,Corvette C8R.2,500,,3,,119
LMGTE,#27,Alfa Romeo ASC,Alfa Romeo GTAm GTE,501,,3,,122
LMGTE,#28,Alfa Romeo ASC,Alfa Romeo GTAm GTE,502,,5,,123
LMGTE,#29,Lamborghini Racing,Lamborghini Piccolante,502,,5,,122
LMGTE,#31,Lamborghini Racing,Lamborghini Piccolante,502,,3,,121
LMGTE,#33,Team SSR,Aston Martin Bond GTE,502,,4,,122
LMGTE,#42,Team SSR,Aston Martin Bond GTE,503,,5,,123
LMGTE,#86,Yacco Venturi Racing,600 LM,500,,4,,120
LMGTE,#87,Yacco Venturi Racing,600 LM,501,,4,,119
LMGTE,#100,98-99 Racing,Koenigsegg Jesko GTE,501,,3,,121
